Participant ID,Current Video Index,Current Condition,Word ID,Unique Word ID,Word,Translation,Condition,Timestamp
fdsafds5435,,,,,,,,
fdsf4324,,,,,,,,
fdsr43,,,,,,,,
fdsfdst43,,,,,,,,
fdsfd5435,,,,,,,,
fdsf432,,,,,,,,
gfdg543,,,,,,,,
rewrew543,,,,,,,,
gfd5t43,,,,,,,,
gfd543,,,,,,,,
rew54,,,,,,,,
fds54,,,,,,,,
fdss5436,,,,,,,,
fdsr4325432,,,,,,,,
ewq42154,,,,,,,,
fdgsa543,,,,,,,,
fdgsa543fdsa,,,,,,,,
fdsrt4e,,,,,,,,
fdsa5432,,,,,,,,
fdst4e3,,,,,,,,
fdsate43,,,,,,,,
fds5432,,,,,,,,
fds543,0,2,5a316819-7bfc-4ac6-8146-25101904a942,a64aed31-c7e2-4f88-87f4-cb7c79cf52dd,motivación,motivation,2,2024-11-13 07:57:52.440842+00:00
fds543,0,2,0d39b7a6-d379-44ae-a878-dbe84ec55696,1c74bc15-461c-4cf8-91c7-88a4537e8e29,investigación,research,2,2024-11-13 07:58:26.470988+00:00
fds543,0,2,8dbd7b0b-c99b-4f00-88f6-d4be19d3167f,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 07:58:30.792939+00:00
fds543,0,2,a3104fae-9ffd-4bc7-ab79-449a720a6f20,9af87ca8-954a-4dca-b662-3e4e3f85769d,crecimiento,growth,2,2024-11-13 07:58:30.867280+00:00
fds543,0,2,72e446ac-c02e-4ede-a850-3874d46572a5,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 07:58:30.953217+00:00
fds543,0,2,5f201b52-42ec-4ac2-b31c-3e89162698c8,a9482894-8db6-43c9-a08f-57ecec3d032b,colaboración,collaboration,2,2024-11-13 07:58:48.495099+00:00
fds543,0,2,c4f40df1-71a2-411e-8d6e-d7c0ea9f7e66,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 07:58:50.468000+00:00
fds543,0,2,1d2ac170-1550-451a-869c-3ee685f06ff3,9af87ca8-954a-4dca-b662-3e4e3f85769d,crecimiento,growth,2,2024-11-13 07:58:50.551662+00:00
fds543,0,2,a20e7d81-a945-45f0-9803-dbf4c31a5c3d,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 07:58:54.477322+00:00
fds543,0,2,570ce229-189a-4f10-adc2-d05ae31d5f2d,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 07:59:10.483754+00:00
fds543,0,2,bf092717-3e55-44b6-b22b-5610c71a3e72,9af87ca8-954a-4dca-b662-3e4e3f85769d,crecimiento,growth,2,2024-11-13 07:59:10.579153+00:00
fds543,0,2,2f672d5c-9b95-47c2-b00c-f4d0a06fe9c8,a9482894-8db6-43c9-a08f-57ecec3d032b,colaboración,collaboration,2,2024-11-13 07:59:20.528410+00:00
fds543,0,2,639f9da8-5211-4f1d-8029-58962108a0ef,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 07:59:25.500445+00:00
fds543,0,2,32453c5c-d8b3-44a7-87a5-79e4eae0bea2,6f499ca5-258b-4de7-9be5-c91149d2502b,decepción,deception,2,2024-11-13 07:59:29.512883+00:00
gfdsgs543,,,,,,,,
fdsa6t43,,,,,,,,
fdsa6t43fds,,,,,,,,
fds5r43,,,,,,,,
rew543,,,,,,,,
fdsatr4e3,,,,,,,,
dfs543,,,,,,,,
rtewq543,0,2,5a316819-7bfc-4ac6-8146-25101904a942,a64aed31-c7e2-4f88-87f4-cb7c79cf52dd,motivación,motivation,2,2024-11-13 08:10:41.336226+00:00
rtewq543,0,2,0d39b7a6-d379-44ae-a878-dbe84ec55696,1c74bc15-461c-4cf8-91c7-88a4537e8e29,investigación,research,2,2024-11-13 08:10:55.825925+00:00
rtewq543,0,2,8dbd7b0b-c99b-4f00-88f6-d4be19d3167f,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 08:10:59.051278+00:00
rtewq543,0,5,a3104fae-9ffd-4bc7-ab79-449a720a6f20,9af87ca8-954a-4dca-b662-3e4e3f85769d,crecimiento,growth,5,2024-11-13 08:11:01.753504+00:00
rtewq543,0,5,72e446ac-c02e-4ede-a850-3874d46572a5,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,5,2024-11-13 08:11:01.845999+00:00
rtewq543,0,5,5f201b52-42ec-4ac2-b31c-3e89162698c8,a9482894-8db6-43c9-a08f-57ecec3d032b,colaboración,collaboration,5,2024-11-13 08:11:16.950957+00:00
rtewq543,0,2,c4f40df1-71a2-411e-8d6e-d7c0ea9f7e66,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 08:11:19.971622+00:00
rtewq543,0,2,1d2ac170-1550-451a-869c-3ee685f06ff3,9af87ca8-954a-4dca-b662-3e4e3f85769d,crecimiento,growth,2,2024-11-13 08:11:20.062666+00:00
rtewq543,0,2,a20e7d81-a945-45f0-9803-dbf4c31a5c3d,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 08:11:29.944844+00:00
rtewq543,0,5,570ce229-189a-4f10-adc2-d05ae31d5f2d,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,5,2024-11-13 08:27:06.560209+00:00
rew5432,1,3,5a316819-7bfc-4ac6-8146-25101904a942,a64aed31-c7e2-4f88-87f4-cb7c79cf52dd,motivación,motivation,3,2024-11-13 08:33:35.524106+00:00
rew5432,3,2,0d39b7a6-d379-44ae-a878-dbe84ec55696,1c74bc15-461c-4cf8-91c7-88a4537e8e29,investigación,research,2,2024-11-13 08:34:07.637417+00:00
rew5432,3,2,8dbd7b0b-c99b-4f00-88f6-d4be19d3167f,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 08:34:07.722459+00:00
rew5432,3,2,a3104fae-9ffd-4bc7-ab79-449a720a6f20,9af87ca8-954a-4dca-b662-3e4e3f85769d,crecimiento,growth,2,2024-11-13 08:34:07.912552+00:00
rew5432,3,2,72e446ac-c02e-4ede-a850-3874d46572a5,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 08:34:09.762769+00:00
rew5432,3,5,5f201b52-42ec-4ac2-b31c-3e89162698c8,a9482894-8db6-43c9-a08f-57ecec3d032b,colaboración,collaboration,5,2024-11-13 08:34:27.806031+00:00
rew5432,3,2,c4f40df1-71a2-411e-8d6e-d7c0ea9f7e66,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 08:34:29.695241+00:00
rew5432,3,2,1d2ac170-1550-451a-869c-3ee685f06ff3,9af87ca8-954a-4dca-b662-3e4e3f85769d,crecimiento,growth,2,2024-11-13 08:34:30.735118+00:00
rew5432,3,2,a20e7d81-a945-45f0-9803-dbf4c31a5c3d,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 08:34:34.746832+00:00
rew5432,3,2,570ce229-189a-4f10-adc2-d05ae31d5f2d,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,2,2024-11-13 08:34:49.823313+00:00
rew5432,3,2,bf092717-3e55-44b6-b22b-5610c71a3e72,9af87ca8-954a-4dca-b662-3e4e3f85769d,crecimiento,growth,2,2024-11-13 08:34:50.715686+00:00
rew5432,3,2,2f672d5c-9b95-47c2-b00c-f4d0a06fe9c8,a9482894-8db6-43c9-a08f-57ecec3d032b,colaboración,collaboration,2,2024-11-13 08:34:59.802820+00:00
rew5432,3,5,639f9da8-5211-4f1d-8029-58962108a0ef,4dbad683-fd83-47d4-b5c9-4ee97a80dcb4,mentalidad,mindset,5,2024-11-13 08:35:04.707500+00:00
