word_index,word_id,unique_word_id,word,translation,start_time,end_time
0,08a06968-8541-4904-be9b-579334133522,8ffd8465-d607-4fe6-901e-b0db57effec3,sueños,dreams,12.799999,13.299999
1,20ee2cdf-a8f2-445c-9855-22d01c4bf3d5,2c4e4adb-a178-4ab9-937e-f81c99d4f788,estrellas,stars,16.345,16.845
2,7f6652ac-3ce3-4e06-a5fa-4fce46a7d424,a768ed90-9287-443a-a6e5-9d008c63d4bd,travesuras,pranks,28.699999,29.199999
3,0fa42133-531f-4063-b062-de252318be8d,0b5c7301-c93f-4d42-8b0a-b6cbf5fac7e5,balón,ball,31.019999,31.519999
4,c9695b35-7076-4888-b6ca-2dd9416afaa6,9965222f-6148-4015-a35f-0b7c88bd6b02,deporte,sport,36.379997,36.879997
5,c9465ebe-32d8-4a71-84ba-ce99a4b8d1d7,4fdf5dab-5bba-4668-9f4d-9521d1b78779,club,club,42.675,42.915
6,1e3bf492-dd20-43df-b90e-15e86522c445,eb6f006e-6db1-4e1a-bd9b-5eb6a43e9fec,estupefacción,astonishment,47.155,47.655
7,a33e933f-df79-4e81-9bec-21a1df6b2c7f,4fdf5dab-5bba-4668-9f4d-9521d1b78779,club,club,49.235,49.735
8,e7a0b62e-b7d2-431a-9fd3-8b5947143e69,4beb5364-f456-4a13-a628-7a2340b73152,entrenadores,coaches,66.255,66.755
9,d48ab03e-3dee-4dcc-b00b-371dc67d795a,817dd250-f181-4fd9-98c8-8cc9c43b2812,disciplina,discipline,69.975,70.475
10,b77d6bac-940d-48ed-b9d8-5832e35960f3,8b8ba467-ef6f-4f20-b23c-cc9dced2db8b,templanza,temperance,72.415,72.495
11,ce7e64df-6c51-471a-83b7-f34a7fc324ce,0b5c7301-c93f-4d42-8b0a-b6cbf5fac7e5,balón,ball,79.935,80.31
12,4ffaa0c6-9da9-4515-8abc-e4e71cc9e057,eb6f006e-6db1-4e1a-bd9b-5eb6a43e9fec,estupefacción,astonishment,81.75,82.229996
13,b7b03b9c-521b-4ff5-9a0d-de8a4da9acf5,4beb5364-f456-4a13-a628-7a2340b73152,entrenadores,coaches,90.549995,91.049995
14,7db5244e-a57a-4395-b9ef-c2a88f393e93,8b8ba467-ef6f-4f20-b23c-cc9dced2db8b,templanza,temperance,93.43,93.67
15,95b0f334-d9da-4df6-a616-eb578289f5b4,0c3433a1-4500-414b-9e47-ba0c334a22db,éxito,success,100.925,101.245
16,d203508e-0ee0-4db2-ace6-3db8947a06a3,5ff18f2e-2278-4e17-966d-957af525f7e9,pericia,expertise,117.1,117.42
17,3a51497c-3838-4450-94c1-a357498ce2f0,f6c320e8-4425-4f3f-96a0-deda99e13c08,esfuerzo,effort,125.225006,125.625
